Metric Name,09/30/2025,09/30/2024,09/30/2023,09/30/2022,09/30/2021,09/30/2020,09/30/2019,09/30/2018,09/30/2017,09/30/2016,09/30/2015,09/30/2014,09/30/2013,09/30/2012,09/30/2011,09/30/2010,09/30/2009,09/30/2008,09/30/2007,09/30/2006,09/30/2005,09/30/2004,09/30/2003,09/30/2002,09/30/2001,09/30/2000,09/30/1999,09/30/1998,09/30/1997,09/30/1996,09/30/1995,09/30/1994,09/30/1993,09/30/1992,09/30/1991,09/30/1990,09/30/1989,09/30/1988,09/30/1987,09/30/1986
"Long Term Debt","78328.00000","85750.00000","95281.00000","98959.00000","109106.00000","98667.00000","91807.00000","93735.00000","97207.00000","75427.00000","53329.00000","28987.00000","16960.00000","","","","","","","","","","","316.00000","317.00000","300.00000","300.00000","954.00000","951.00000","949.00000","303.00000","304.47200","","","","","","","",""
"Other Non-Current Liabilities","41549.00000","45888.00000","49848.00000","49142.00000","53325.00000","54490.00000","50503.00000","48914.00000","40415.00000","36074.00000","33427.00000","24826.00000","20208.00000","16664.00000","10100.00000","5531.00000","3502.00000","1745.00000","1535.00000","778.00000","601.00000","323.00000","","","","","","","","","","","","","","","","","",""
"Total Long Term Liabilities","119877.00000","131638.00000","145129.00000","148101.00000","162431.00000","153157.00000","142310.00000","142649.00000","140458.00000","114431.00000","90380.00000","56844.00000","39793.00000","19312.00000","11786.00000","6670.00000","4355.00000","2513.00000","1535.00000","778.00000","601.00000","323.00000","235.00000","545.00000","583.00000","763.00000","508.00000","1127.00000","1215.00000","1303.00000","1005.00000","975.14000","629.83200","610.80300","509.87000","501.83200","362.91000","251.56800","162.76500","137.50600"
"Total Liabilities","285508.00000","308030.00000","290437.00000","302083.00000","287912.00000","258549.00000","248028.00000","258578.00000","241272.00000","193437.00000","170990.00000","120292.00000","83451.00000","57854.00000","39756.00000","27392.00000","15861.00000","13874.00000","10815.00000","7221.00000","4088.00000","2974.00000","2592.00000","2203.00000","2101.00000","2696.00000","2057.00000","2647.00000","3033.00000","3306.00000","3330.00000","2919.44500","3145.03400","2036.32300","1726.92100","1528.88700","1258.15300","1078.66100","641.44300","466.04100"
"Common Stock Net","93568.00000","83276.00000","73812.00000","64849.00000","57365.00000","50779.00000","45174.00000","40201.00000","35867.00000","31251.00000","27416.00000","23313.00000","19764.00000","16422.00000","13331.00000","10668.00000","8210.00000","7177.00000","5368.00000","4355.00000","3564.00000","2514.00000","1926.00000","1826.00000","1693.00000","1502.00000","1349.00000","633.00000","498.00000","439.00000","398.00000","297.92900","203.61300","282.31000","278.86500","136.55500","315.27900","226.23900","263.95600","227.07500"
"Retained Earnings (Accumulated Deficit)","-14264.00000","-19154.00000","-214.00000","-3068.00000","5562.00000","14966.00000","45898.00000","70400.00000","98330.00000","96364.00000","92284.00000","87152.00000","104256.00000","101289.00000","62841.00000","37169.00000","23353.00000","15129.00000","9101.00000","5607.00000","3925.00000","2670.00000","2394.00000","2325.00000","2260.00000","2285.00000","1499.00000","898.00000","589.00000","1634.00000","2464.00000","2096.20600","1842.60000","1904.51900","1492.02400","1312.15600","1175.89900","776.45300","573.14100","474.28700"
"Comprehensive Income","-5571.00000","-7172.00000","-11452.00000","-11109.00000","163.00000","-406.00000","-584.00000","-3454.00000","-150.00000","634.00000","-345.00000","1082.00000","-471.00000","499.00000","443.00000","-46.00000","77.00000","-9.00000","63.00000","22.00000","","-15.00000","-35.00000","-49.00000","-22.00000","244.00000","","","","","","","","","","","","","",""
"Other Share Holders Equity","","","","","","","","","","","","","","","","","","","","","","","","","","","106.00000","-39.00000","-37.00000","-15.00000","39.00000","-10.83400","-19.83500","0.54100","-4.21300","-1.89100","-5.43200","0.73300","-0.60900","-7.27500"
"Share Holder Equity","73733.00000","56950.00000","62146.00000","50672.00000","63090.00000","65339.00000","90488.00000","107147.00000","134047.00000","128249.00000","119355.00000","111547.00000","123549.00000","118210.00000","76615.00000","47791.00000","31640.00000","22297.00000","14532.00000","9984.00000","7428.00000","5076.00000","4223.00000","4095.00000","3920.00000","4107.00000","3104.00000","1642.00000","1200.00000","2058.00000","2901.00000","2383.30100","2026.37800","2187.37000","1766.67600","1446.82000","1485.74600","1003.42500","836.48800","694.08700"
"Total Liabilities And Share Holders Equity","359241.00000","364980.00000","352583.00000","352755.00000","351002.00000","323888.00000","338516.00000","365725.00000","375319.00000","321686.00000","290345.00000","231839.00000","207000.00000","176064.00000","116371.00000","75183.00000","47501.00000","36171.00000","25347.00000","17205.00000","11516.00000","8050.00000","6815.00000","6298.00000","6021.00000","6803.00000","5161.00000","4289.00000","4233.00000","5364.00000","6231.00000","5302.74600","5171.41200","4223.69300","3493.59700","2975.70700","2743.89900","2082.08600","1477.93100","1160.12800"
