Metric Name,09/30/2025,09/30/2024,09/30/2023,09/30/2022,09/30/2021,09/30/2020,09/30/2019,09/30/2018,09/30/2017,09/30/2016,09/30/2015,09/30/2014,09/30/2013,09/30/2012,09/30/2011,09/30/2010,09/30/2009,09/30/2008,09/30/2007,09/30/2006,09/30/2005,09/30/2004,09/30/2003,09/30/2002,09/30/2001,09/30/2000,09/30/1999,09/30/1998,09/30/1997,09/30/1996,09/30/1995,09/30/1994,09/30/1993,09/30/1992,09/30/1991,09/30/1990,09/30/1989,09/30/1988,09/30/1987,09/30/1986
"Net Change In Long-Term Investments","","","","","","","633.00000","-1518.00000","-395.00000","-1388.00000","","-10.00000","","","","","","-38.00000","-17.00000","-25.00000","586.00000","806.00000","45.00000","25.00000","340.00000","140.00000","","","","","","","","","","","","","",""
"Net Change In Investments - Total","29390.00000","13690.00000","16001.00000","-9560.00000","-3075.00000","5453.00000","58093.00000","30845.00000","-33542.00000","-32022.00000","-44417.00000","-9027.00000","-24042.00000","-38427.00000","-32464.00000","-11075.00000","-16046.00000","-6760.00000","-2312.00000","1032.00000","-2275.00000","-1323.00000","959.00000","-19.00000","1161.00000","-796.00000","-948.00000","-566.00000","-36.00000","3.00000","-141.00000","161.52200","721.05300","-648.37100","333.83700","-251.75900","-197.29300","","",""
"Investing Activities - Other","-1480.00000","-1308.00000","-1337.00000","-2086.00000","-385.00000","-909.00000","-1078.00000","-745.00000","-124.00000","-924.00000","-26.00000","26.00000","-160.00000","-48.00000","-259.00000","-20.00000","-175.00000","-10.00000","49.00000","10.00000","-21.00000","11.00000","33.00000","-7.00000","-18.00000","-34.00000","8.00000","-10.00000","-60.00000","-55.00000","-102.00000","-3.73700","-15.16900","-69.41000","-57.16500","-97.46700","-45.48800","-42.10300","91.80600","45.52200"
"Cash Flow From Investing Activities","15195.00000","2935.00000","3705.00000","-22354.00000","-14545.00000","-4289.00000","45896.00000","16066.00000","-46446.00000","-45977.00000","-56274.00000","-22579.00000","-33774.00000","-48227.00000","-40419.00000","-13854.00000","-17434.00000","-8189.00000","-3249.00000","357.00000","-2556.00000","-1488.00000","828.00000","-252.00000","892.00000","-972.00000","-964.00000","-543.00000","-533.00000","-119.00000","-402.00000","-1.80200","492.76600","-912.63400","58.32400","-573.53100","-403.07800","-186.10400","154.37400","45.52200"
"Net Long-Term Debt","-6451.00000","-9958.00000","-5923.00000","-4078.00000","11643.00000","3462.00000","-1842.00000","469.00000","25162.00000","22454.00000","27114.00000","11960.00000","16896.00000","","","","","","","","","-300.00000","","","","","","","","","","","","","","","","","",""
"Net Current Debt","-2032.00000","3960.00000","-3978.00000","3955.00000","1022.00000","-963.00000","-5977.00000","-37.00000","3852.00000","-397.00000","2191.00000","6306.00000","","","","","","","","","","","","","","","0.00000","-25.00000","-161.00000","371.00000","167.00000","-233.62700","638.72100","193.11900","25.93600","65.87900","-71.12000","127.87100","86.12700","66.62900"
"Debt Issuance/Retirement Net - Total","-8483.00000","-5998.00000","-9901.00000","-123.00000","12665.00000","2499.00000","-7819.00000","432.00000","29014.00000","22057.00000","29305.00000","18266.00000","16896.00000","","","","","","","","","-300.00000","","","","","0.00000","3.00000","0.00000","0.00000","0.00000","0.00000","638.72100","193.11900","25.93600","65.87900","-71.12000","127.87100","15.23400","66.62900"
"Net Common Equity Issued/Repurchased","-90711.00000","-94949.00000","-77550.00000","-89402.00000","-85971.00000","-72358.00000","-66116.00000","-72069.00000","-32345.00000","-30797.00000","-34710.00000","-44270.00000","-22330.00000","665.00000","831.00000","912.00000","475.00000","483.00000","365.00000","318.00000","543.00000","427.00000","27.00000","105.00000","42.00000","-31.00000","","","","","","","","","","","","","",""
"Net Total Equity Issued/Repurchased","-90711.00000","-94949.00000","-77550.00000","-89402.00000","-85971.00000","-72358.00000","-66116.00000","-72069.00000","-32345.00000","-30797.00000","-34710.00000","-44270.00000","-22330.00000","665.00000","831.00000","912.00000","475.00000","483.00000","365.00000","318.00000","543.00000","427.00000","27.00000","105.00000","42.00000","-31.00000","11.00000","41.00000","184.00000","39.00000","86.00000","82.08100","-188.16500","-212.62500","73.04300","-466.04800","83.10200","","630.15300","307.28900"
"Total Common And Preferred Stock Dividends Paid","-15421.00000","-15234.00000","-15025.00000","-14841.00000","-14467.00000","-14081.00000","-14119.00000","-13712.00000","-12769.00000","-12150.00000","-11561.00000","-11126.00000","-10564.00000","-2488.00000","","","","","","","","","","","","","0.00000","0.00000","0.00000","-14.00000","-58.00000","-56.57200","-55.59300","","-56.50900","-53.78300","-50.31100","-39.64600","",""
"Financial Activities - Other","-6071.00000","-5802.00000","-6012.00000","-6383.00000","-5580.00000","-2880.00000","-2922.00000","-2527.00000","-1874.00000","","-750.00000","-419.00000","-381.00000","125.00000","613.00000","345.00000","188.00000","633.00000","374.00000","6.00000","","","","","","","","","","","","","-48.03600","-57.19600","","","","-215.93800","",""
"Cash Flow From Financial Activities","-120686.00000","-121983.00000","-108488.00000","-110749.00000","-93353.00000","-86820.00000","-90976.00000","-87876.00000","-17974.00000","-20890.00000","-17716.00000","-37549.00000","-16379.00000","-1698.00000","1444.00000","1257.00000","663.00000","1116.00000","739.00000","324.00000","543.00000","127.00000","27.00000","105.00000","42.00000","-31.00000","11.00000","19.00000","23.00000","396.00000","195.00000","-208.11800","346.92700","-76.70200","42.47000","-453.95200","-38.32900","-127.71300","154.13600","54.50500"
"Net Cash Flow","5991.00000","-794.00000","5760.00000","-10952.00000","-3860.00000","-10435.00000","24311.00000","5624.00000","-195.00000","-636.00000","7276.00000","-415.00000","3513.00000","931.00000","-1446.00000","5998.00000","-6612.00000","2523.00000","2960.00000","2901.00000","522.00000","-427.00000","1144.00000","-58.00000","1119.00000","-135.00000","-155.00000","251.00000","-322.00000","796.00000","-447.00000","527.07500","177.85600","-105.59000","229.46500","-63.61800","65.94000","-19.37700","385.77700","0.39600"
"Stock-Based Compensation","12863.00000","11688.00000","10833.00000","9038.00000","7906.00000","6829.00000","6068.00000","5340.00000","4840.00000","4210.00000","3586.00000","2863.00000","2253.00000","1740.00000","1168.00000","879.00000","710.00000","516.00000","242.00000","163.00000","49.00000","46.00000","16.00000","5.00000","2.00000","","","","","","","","","","","","","","",""
"Common Stock Dividends Paid","-15421.00000","-15234.00000","-15025.00000","-14841.00000","-14467.00000","-14081.00000","-14119.00000","-13712.00000","-12769.00000","-12150.00000","-11561.00000","-11126.00000","-10564.00000","-2488.00000","0.00000","0.00000","","","","","","","","","","","","","","","","","","","","","","","",""
